origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Esquina,Mburucuya,4349.8987111,409250.7166424,3592.2605237,417192.8758771
Esquina,Mercedes,4349.8987111,409250.7166424,3592.2605237,417192.8758771
Esquina,Monte Caseros,4349.8987111,222175.5966170,6807.9618565,233333.4571847
Esquina,Paso de los Libres,4349.8987111,255149.9765051,6472.8507322,265972.7259484
Esquina,Saladas,4349.8987111,369055.2724632,9751.5790731,383156.7502473
Esquina,San Cosme,4349.8987111,493332.5574641,6100.8763047,503783.3324799
Esquina,San Luis del Palmar,4349.8987111,470135.2520246,8312.4536459,482797.6043816
Esquina,San Martin,4349.8987111,324142.0743306,10757.3035760,339249.2766177
Esquina,San Miguel,4349.8987111,514091.0909210,10516.2065832,528957.1962153
Esquina,San Roque,4349.8987111,282230.3941285,1050.3210138,287630.6138533
Esquina,Santo Tome,4349.8987111,578479.8067674,5968.9673074,588798.6727859
Esquina,Sauce,4349.8987111,83220.3893185,3541.5156726,91111.8037022
General Alvear,Capital,7655.6721382,643167.7243180,3607.4880025,654430.8844587
General Alvear,Bella Vista,7655.6721382,470867.1433088,15030.3476304,493553.1630774
General Alvear,Departartamento Beron de Astrada,7655.6721382,684821.1041713,6694.4310392,699171.2073487
General Alvear,Departamento concepcion,7655.6721382,609866.2216401,2051.5111523,619573.4049306
General Alvear,Curuzu Cuatia,7655.6721382,231096.5484204,3643.2733238,242395.4938825
General Alvear,Empedrado,7655.6721382,608478.4946635,5189.5280649,621323.6948666
General Alvear,Esquina,7655.6721382,394357.8771187,4349.8987111,406363.4479680
General Alvear,General Alvear,7655.6721382,0.0000000,4349.8987111,406363.4479680
General Alvear,General Paz,7655.6721382,637451.4247261,6015.2852591,651122.3821234
General Alvear,Goya,7655.6721382,531917.5959898,1494.5167008,541067.7848288
General Alvear,Itati,7655.6721382,667687.4407656,4472.0653505,679815.1782543
General Alvear,Ituzaingo,7655.6721382,182337.5285373,24557.9510498,214551.1517254
General Alvear,Lavalle,7655.6721382,516804.1334383,1678.7503915,526138.5559681
General Alvear,Mburucuya,7655.6721382,557744.5789933,3592.2605237,568992.5116552
General Alvear,Mercedes,7655.6721382,557744.5789933,3592.2605237,568992.5116552
General Alvear,Monte Caseros,7655.6721382,218263.7672478,6807.9618565,232727.4012426
General Alvear,Paso de los Libres,7655.6721382,139207.9006136,6472.8507322,153336.4234840
General Alvear,Saladas,7655.6721382,517549.1348141,9751.5790731,534956.3860254
General Alvear,San Cosme,7655.6721382,641826.4198151,6100.8763047,655582.9682580
General Alvear,San Luis del Palmar,7655.6721382,618629.1143756,8312.4536459,634597.2401597
General Alvear,San Martin,7655.6721382,70215.8027881,10757.3035760,88628.7785024
General Alvear,San Miguel,7655.6721382,662584.9532720,10516.2065832,680756.8319934
General Alvear,San Roque,7655.6721382,430724.2564794,1050.3210138,439430.2496314
General Alvear,Santo Tome,7655.6721382,235991.5066928,5968.9673074,249616.1461385
General Alvear,Sauce,7655.6721382,311137.4878002,3541.5156726,322334.6756110
General Paz,Capital,6015.2852591,126629.5826110,3607.4880025,136252.3558725
General Paz,Bella Vista,6015.2852591,196134.2853554,15030.3476304,217179.9182449
General Paz,Departartamento Beron de Astrada,6015.2852591,47369.6794452,6694.4310392,60079.3957435
General Paz,Departamento concepcion,6015.2852591,109494.0793605,2051.5111523,117560.8757718
General Paz,Curuzu Cuatia,6015.2852591,406354.8763057,3643.2733238,416013.4348886
General Paz,Empedrado,6015.2852591,119252.4235022,5189.5280649,130457.2368261
General Paz,Esquina,6015.2852591,488957.5623751,4349.8987111,499322.7463453
General Paz,General Alvear,6015.2852591,637451.4247261,7655.6721382,651122.3821234
General Paz,General Paz,6015.2852591,0.0000000,7655.6721382,651122.3821234
General Paz,Goya,6015.2852591,257184.7380365,1494.5167008,264694.5399963
General Paz,Itati,6015.2852591,151149.2990586,4472.0653505,161636.6496682
General Paz,Ituzaingo,6015.2852591,767919.3762192,24557.9510498,798492.6125281
General Paz,Lavalle,6015.2852591,242071.2754850,1678.7503915,249765.3111356
General Paz,Mburucuya,6015.2852591,79706.8457328,3592.2605237,89314.3915155
General Paz,Mercedes,6015.2852591,79706.8457328,3592.2605237,89314.3915155
General Paz,Monte Caseros,6015.2852591,465269.1442244,6807.9618565,478092.3913400
General Paz,Paso de los Libres,6015.2852591,498243.5241125,6472.8507322,510731.6601038
General Paz,Saladas,6015.2852591,119902.2899120,9751.5790731,135669.1542441
General Paz,San Cosme,6015.2852591,125288.2781081,6100.8763047,137404.4396719
General Paz,San Luis del Palmar,6015.2852591,102090.9726686,8312.4536459,116418.7115735
General Paz,San Martin,6015.2852591,567235.6219380,10757.3035760,584008.2107730
General Paz,San Miguel,6015.2852591,25133.5285459,10516.2065832,41665.0203881
General Paz,San Roque,6015.2852591,206727.1682467,1050.3210138,213792.7745195
General Paz,Santo Tome,6015.2852591,821573.3543747,5968.9673074,833557.6069412
General Paz,Sauce,6015.2852591,405737.1730566,3541.5156726,415293.9739883
Goya,Capital,1494.5167008,262901.0376284,3607.4880025,268003.0423316
Goya,Bella Vista,1494.5167008,61050.4526810,15030.3476304,77575.3170122
Goya,Departartamento Beron de Astrada,1494.5167008,304554.4174817,6694.4310392,312743.3652217
Goya,Departamento concepcion,1494.5167008,229599.5349505,2051.5111523,233145.5628036
Goya,Curuzu Cuatia,1494.5167008,300821.0475694,3643.2733238,305958.8375940
Goya,Empedrado,1494.5167008,228211.8079738,5189.5280649,234895.8527395
Goya,Esquina,1494.5167008,383423.7336389,4349.8987111,389268.1490507
Goya,General Alvear,1494.5167008,531917.5959898,7655.6721382,541067.7848288
Goya,General Paz,1494.5167008,257184.7380365,6015.2852591,264694.5399963
Goya,Goya,1494.5167008,0.0000000,6015.2852591,264694.5399963
Goya,Itati,1494.5167008,287420.7540760,4472.0653505,293387.3361272
Goya,Ituzaingo,1494.5167008,662385.5474829,24557.9510498,688438.0152335
Goya,Lavalle,1494.5167008,15113.4625515,1678.7503915,18286.7296438
Goya,Mburucuya,1494.5167008,177477.8923037,3592.2605237,182564.6695281
Goya,Mercedes,1494.5167008,177477.8923037,3592.2605237,182564.6695281
Goya,Monte Caseros,1494.5167008,359735.3154882,6807.9618565,368037.7940455
Goya,Paso de los Libres,1494.5167008,392709.6953762,6472.8507322,400677.0628092
Goya,Saladas,1494.5167008,137282.4481245,9751.5790731,148528.5438984
Goya,San Cosme,1494.5167008,261559.7331255,6100.8763047,269155.1261310
Goya,San Luis del Palmar,1494.5167008,238362.4276859,8312.4536459,248169.3980326
Goya,San Martin,1494.5167008,461701.7932017,10757.3035760,473953.6134785
Goya,San Miguel,1494.5167008,282318.2665824,10516.2065832,294328.9898663
